Local Date: Jan 06 2023 Local Time: 16:43:51
Build info: Sep 15 2022 15:14:37 r

INFO    16:44:13:221  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
WARN    16:44:13:258  11432; [VPM:Brightness] bright (221).
INFO    16:44:13:268  11432; [rs] total: 15617 / 15793 valid: 15617 / 15617
INFO    16:44:13:271  11432; Peer count: 1
INFO    16:44:13:271  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

INFO    16:44:13:271  11432; agora::media::VideoEngine::SetStreamState: 2 -> 2
WARN    16:44:13:297  19224; Setting a too large audio device delay = (184467492)ms
INFO    16:44:13:330  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
WARN    16:44:13:538  15464; ping host 103.18.47.77
WARN    16:44:13:542  15464; ping host 192.168.10.1
INFO    16:44:14:221  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
WARN    16:44:14:285  19224; captured signal too small
WARN    16:44:14:285  19224; audio device captured signal too small
WARN    16:44:14:295  19224; Setting a too large audio device delay = (184467491)ms
INFO    16:44:14:412  11432; gatewayRtt 4(650), linkspeed 86700(20), rssi -53(-70), rxlossrate 1(30), localRxJitter95 16(500), reason 0x0
INFO    16:44:14:433  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
WARN    16:44:14:540  15464; ping host 103.18.47.77
WARN    16:44:14:549  15464; ping host 192.168.10.1
WARN    16:44:14:867  11432; [VPM:Brightness] bright (221).
INFO    16:44:14:967  11432; before enc coefUniformity=0
INFO    16:44:15:222  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:44:15:272  11432; Peer count: 1
INFO    16:44:15:272  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

INFO    16:44:15:272  11432; agora::media::VideoEngine::SetStreamState: 2 -> 2
WARN    16:44:15:295  19224; Setting a too large audio device delay = (184467491)ms
INFO    16:44:15:338  24656; Audio statistics signal level: far_in = 0
INFO    16:44:15:369  33400; AgoraRTC::videocapturemodule::VideoCaptureImpl::printFrameLog:frame count 149339,width 640,height 360,ystride:0,type:2
INFO    16:44:15:415  11432; Intra Request Received from 1445391047, time = 366344233

INFO    16:44:15:450  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
WARN    16:44:15:472  11432; Fail to parse: AgoraRTC::SpsH264::InterpretSps gaps_in_frame_num_value_allowed_flag is 1

WARN    16:44:15:472  11432; Idr miss, internal frn wrap around, reset. prevfrn (119), cfrn (0), maxfrn (32768)
WARN    16:44:15:542  15464; ping host 103.18.47.77
WARN    16:44:15:555  15464; ping host 192.168.10.1
INFO    16:44:15:571  11432; AgoraRTC::AVEncoder::VideoEncoderExec: UseSingleSliceParser = 1
INFO    16:44:15:940  11432; [timeSync] getStableNTP, rtt_w: 34, diffTime: 1672631911016, bootTime: 366344758, currentTs: 1672998255774
INFO    16:44:16:223  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
WARN    16:44:16:285  19224; captured signal too small
WARN    16:44:16:285  19224; audio device captured signal too small
WARN    16:44:16:297  19224; Setting a too large audio device delay = (184467492)ms
INFO    16:44:16:306  19224; AVSync audio_record_delay: 11

WARN    16:44:16:475  11432; [VPM:Brightness] bright (221).
INFO    16:44:16:486  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
WARN    16:44:16:550  15464; ping host 103.18.47.77
WARN    16:44:16:565  15464; ping host 192.168.10.1
INFO    16:44:17:224  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:44:17:274  11432; Peer count: 1
INFO    16:44:17:274  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

